accession	long	lat	4k	6k	ratio
86	106.63	29.71	400.16	422.56	0.946989777
87	91.18	29.64	305.83	297.55	1.027827256
10020	16.5	49.17	63.37	33.66	1.88265003
10022	7.7667	48.0333	91.66	83.29	1.100492256
10027	7.765567	48.02838	262.03	166.81	1.570829087
1006	14.05	55.3833	731.89	406.51	1.800423114
1061	14.1333	55.7167	247.31	155.61	1.589293747
1062	14.1333	55.7167	856.69	494.86	1.731176494
1063	14.1333	55.7167	278.13	247.68	1.122940891
108	-4.06667	48.5167	281.46	272.73	1.03200968
1158	16.5167	56.7	775.95	413.68	1.875725198
1166	16.5167	56.7	956.72	542.51	1.763506663
1254	17.0167	59.4333	671.96	731.21	0.918969927
1257	17.0167	59.4333	641.48	664.23	0.965749816
1313	16.8667	59.5667	629.65	659.05	0.955390335
1317	16.8667	59.5667	1230.58	1229.92	1.00053662
139	-4.06667	48.5167	204.7	195.97	1.044547635
14312	34.12	62.02	649.09	440.18	1.474601299
14313	34.12	62.02	800.43	514.82	1.554776427
14314	35.11	61.59	516.67	300.28	1.720627414
14315	35.11	61.59	686.15	439.9	1.559786315
14318	34.24	61.94	794.09	457.01	1.737576858
14319	34.24	61.94	1415.21	940.98	1.50397458
1552	18.3667	63.0833	1173	771.61	1.520198028
15560	61.37	61.37	992.52	454.67	2.182945873
15591	14.72665	48.3315333	1566.68	891.46	1.757431629
15592	14.7158667	48.3314667	965.26	535.52	1.802472363
15593	14.7158667	48.3314667	1428	809.41	1.764248033
159	3.93333	47.35	245.78	254.43	0.966002437
1612	-86.583	41.9	480.91	487.75	0.985976422
1622	-86.583	41.9	652.13	657.23	0.992240159
1651	-86.4045	43.3431	543.36	535.79	1.01412867
1652	-86.4045	43.3431	499.18	503.11	0.992188587
1676	-86.607	41.879	519.05	529.78	0.97974631
1684	-86.607	41.879	317.02	317.2	0.999432535
1739	-85.398	42.405	140.98	132.79	1.061676331
1741	-85.398	42.405	111.54	97.85	1.139908022
1756	-86.358	42.184	361.13	357.09	1.011313674
1757	-86.358	42.184	684.34	677.02	1.010812088
1793	-86.67	41.847	829.77	842.7	0.984656461
1797	-86.67	41.847	272.54	282.1	0.966111308
1819	-86.67	41.8	441.75	455.66	0.969472853
1820	-86.67	41.8	451.3	461.49	0.977919348
1829	-86.509	42.051	422.11	247.19	1.707633804
1834	-86.509	42.051	476.82	493.51	0.96618103
1835	-86.509	42.051	356	365.86	0.9730498
1851	-86.2657	43.595	964.7	985.38	0.979013173
1852	-86.2657	43.595	254.64	271.68	0.937279152
1853	-86.2657	43.595	204.39	195.63	1.044778408
18694	32.09	60.4	785.78	416.12	1.888349515
18696	30.63	61.57	565.82	310.16	1.82428424
1872	-86.2657	43.595	409.89	402.87	1.017424976
1890	-86.1859	43.5139	566.09	314.52	1.799853745
1925	-86.1843	43.5251	352.17	202.54	1.738767651
1942	-86.1843	43.5251	139.2	133.08	1.045987376
1943	-86.1843	43.5251	161.7	157.55	1.026340844
1954	-86.1739	43.5187	255.54	147.2	1.736005435
19949	14.7181667	48.3268333	459.93	445.35	1.032738296
19950	14.7181667	48.3268333	418.47	414.18	1.010357815
19951	14.7181667	48.3268333	648.81	624.76	1.038494782
2016	-86.1788	43.5356	393.91	216.4	1.820286506
2017	-86.1788	43.5356	672.18	676.67	0.993364565
2031	-86.412	42.166	247.89	255.02	0.972041409
2053	-86.412	42.166	962.5	977.23	0.984926783
2057	-86.412	42.166	764.59	485.03	1.576376719
2081	-86.3368	43.2483	180.78	184.31	0.980847485
2091	-86.3368	43.2483	123.75	116.95	1.058144506
2106	-86.0891	43.2749	139.08	154.77	0.898623764
2108	-86.0891	43.2749	840.35	824.63	1.019063095
2141	-86.0891	43.2749	119.73	118.85	1.007404291
2159	-86.431	42.148	180.48	177.2	1.018510158
2166	-86.431	42.148	128.44	128.69	0.998057347
2171	-86.431	42.148	552.97	315.34	1.753567578
2191	-86.3929	43.7623	801.17	802.32	0.998566657
2202	-86.3929	43.7623	224.14	123.11	1.820648201
2212	-86.3929	43.7623	818.02	796.03	1.027624587
2239	-86.382	42.184	666.88	692.71	0.962711669
2240	-86.382	42.184	471.57	474.54	0.993741307
2276	-86.496	43.665	243.05	136.9	1.775383492
